AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1199501,11995,GSO,Piedmont Triad International,"Greensboro/High Point, NC",36,United States,US,North Carolina,NC,37,31995,"Greensboro/High Point, NC",36,36,N,5,31,36.09194444,79,W,56,34,-79.94277778,1/1/1950 0:00,6/30/2011 0:00,0,0
1211001,12110,HFF,Mackall AAF,"Hoffman, NC",36,United States,US,North Carolina,NC,37,32110,"Hoffman, NC",36,35,N,2,11,35.03638889,79,W,29,52,-79.49777778,12/1/1987 0:00,6/30/2011 0:00,0,0
1214901,12149,HKY,Hickory Regional,"Hickory, NC",36,United States,US,North Carolina,NC,37,32149,"Hickory, NC",36,35,N,44,26,35.74055556,81,W,23,24,-81.39,1/1/1950 0:00,6/30/2011 0:00,0,0
1216801,12168,HNC,Billy Mitchell,"Hatteras, NC",36,United States,US,North Carolina,NC,37,32168,"Hatteras, NC",36,35,N,13,52,35.23111111,75,W,37,17,-75.62138889,10/1/1974 0:00,6/30/2011 0:00,0,0
1230301,12303,IGX,Horace Williams,"Chapel Hill, NC",36,United States,US,North Carolina,NC,37,32303,"Chapel Hill, NC",36,35,N,56,6,35.935,79,W,3,57,-79.06583333,3/1/2002 0:00,9/30/2022 0:00,1,1
1231201,12312,IKB,Wilkes County,"Wilkesboro, NC",36,United States,US,North Carolina,NC,37,32312,"Wilkesboro, NC",36,36,N,13,22,36.22277778,81,W,5,54,-81.09833333,3/1/2003 0:00,12/31/2012 0:00,0,0
1232301,12323,ILM,Wilmington International,"Wilmington, NC",36,United States,US,North Carolina,NC,37,32323,"Wilmington, NC",36,34,N,16,1,34.26694444,77,W,54,14,-77.90388889,1/1/1950 0:00,6/30/2011 0:00,0,0
1234801,12348,INT,Smith Reynolds,"Winston-Salem, NC",36,United States,US,North Carolina,NC,37,32348,"Winston-Salem, NC",36,36,N,8,7,36.13527778,80,W,13,32,-80.22555556,1/1/1950 0:00,6/30/2011 0:00,0,0
1239001,12390,ISO,Kinston Regional Jetport at Stallings Field,"Kinston, NC",36,United States,US,North Carolina,NC,37,32390,"Kinston, NC",36,35,N,19,36,35.32666667,77,W,37,0,-77.61666667,1/1/1950 0:00,6/30/2011 0:00,0,0
1254401,12544,JQF,Concord Regional,"Concord, NC",36,United States,US,North Carolina,NC,37,32544,"Cabarrus, NC",36,35,N,23,7,35.38527778,80,W,42,35,-80.70972222,6/1/2001 0:00,6/30/2011 0:00,1,0
1290601,12906,LBT,Lumberton Municipal,"Lumberton, NC",36,United States,US,North Carolina,NC,37,32906,"Lumberton, NC",36,34,N,36,40,34.61111111,79,W,3,28,-79.05777778,9/1/1977 0:00,6/30/2011 0:00,0,0
1324601,13246,MEO,Dare County Regional,"Manteo, NC",36,United States,US,North Carolina,NC,37,33246,"Manteo, NC",36,35,N,55,8,35.91888889,75,W,41,44,-75.69555556,9/1/1999 0:00,,0,1
1346601,13466,MRH,Beaufort/Morehead,"Morehead City, NC",36,United States,US,North Carolina,NC,37,33466,"Morehead City, NC",36,34,N,44,3,34.73416667,76,W,39,37,-76.66027778,1/1/1950 0:00,2/28/1981 0:00,0,0
1347001,13470,MRN,Morganton Lenoir,"Morganton, NC",36,United States,US,North Carolina,NC,37,33470,"Morganton, NC",36,35,N,50,0,35.83333333,81,W,37,0,-81.61666667,3/1/2003 0:00,,0,1
1355401,13554,MXE,Laurinburg-Maxton,"Maxton, NC",36,United States,US,North Carolina,NC,37,33554,"Maxton, NC",36,34,N,47,30,34.79166667,79,W,21,58,-79.36611111,3/1/1987 0:00,6/30/2011 0:00,0,0
1361901,13619,NC1,Gastonia Municipal,"Gastonia, NC",36,United States,US,North Carolina,NC,37,33619,"Gastonia, NC",36,35,N,12,10,35.20277778,81,W,8,59,-81.14972222,7/1/2002 0:00,6/30/2011 0:00,0,0
1362001,13620,NC2,Johnston County,"Smithfield, NC",36,United States,US,North Carolina,NC,37,33620,"Smithfield, NC",36,35,N,32,27,35.54083333,78,W,23,25,-78.39027778,2/1/2004 0:00,4/30/2015 0:00,0,0
1362101,13621,NC3,Shelby Municipal,"Shelby, NC",36,United States,US,North Carolina,NC,37,33621,"Shelby, NC",36,35,N,15,20,35.25555556,81,W,36,3,-81.60083333,3/1/2004 0:00,6/30/2011 0:00,0,0
